O=C(O)CCC1=CC=CC(O)C1O
CC[C@H](c1n[nH]c(=S)o1)N(C)C
CC1=CC(N=NC2=CC=C(N(C)C)C=C2)=CC(C)=[N+]1[O-]
C[C@H](O)CNc1ncnc2cc(C(=O)O)ccc12
NC[C@H]1CCCN2CCCC[C@H]12
C[C@H]1CCC2=C(C1)SC1=C2C2=NN=NN2C=N1
C[C@]1(C(=O)C2=NNC[C@H]2c2ccc3c(c2)OCO3)CO1
Cc1nc(SC[C@H](O)CCl)c([N+](=O)[O-])[nH]1
CCN1CCc2nc(N)oc2CC1
CC(=S)Nc1ccc(C)cc1
CCC(=O)N1C[C@H](C)C(=O)NC2=CC=CC=C21
COC(=O)[C@@H]1CCC(c2ccccc2)=N1
CC(=O)[C@H](C#N)C1=CC=CC=C1
FC(F)(Cl)C(F)(F)C(F)(F)Cl
CCOC(=O)CC(=O)C(F)F
C=CCC1=CC=CC=C1OCC(=O)NC1=CC(OC)=CC=C1
CNCC(O)C(O)C(O)C(O)CO
Cc1cccc(CC(=O)O)c1
O=C(ON=Cc1ccc2c(c1)OCO2)c1ccccc1
COc1ccc(C(=O)CSc2n[nH]c(=O)[nH]c2=O)cc1
OC(C=CC1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
C[C@H]1CC(=O)CN(C)[C@@H]1C
O=C(O)C(Cc1ccco1)c1cccc2ccccc12
O=S1(=O)C=C[C@H](N2CCCCCC2)C1
CC(C)(OO)c1ccccc1
C=C(C)[C@H]1CC=C(C)C(=O)C1
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
CCCCCCCCCOC(C)=O
CC1=NC([N+](=O)[O-])=C(Cl)N1C
S=C1NC2=C(CCC3=CC=CC=C23)C(C2=CC=CS2)N1
CC(C(=O)O)=C(CC(=O)O)C(=O)O
CC1=CC(C(=O)NNCC2=CC=C(N(C)C)C=C2)=NO1
O=CC1=CC([N+](=O)[O-])=CC=C1
NC(=O)CC[C@H](N)C(=O)O
O=C1C=C(c2ccccc2)CN(C2CCCCC2)C1=O
CS(=O)(=O)NCc1cccs1
CCC(=O)N1C2=CC=CC=C2NC(=O)C[C@@H]1C
Cc1cccc(C(=O)Cl)c1C
COC1=CC=C(C(=O)CN2C(=O)OC3=C2C=C(C)C=C3)C=C1
O=C(C(Cl)Cl)N1CCSCC1
CCOC(=O)C[C@H](N)c1ccc(F)cc1
O=C(CSc1ccccc1)Nc1ccc(C(=O)O)cc1
CC1=CN(C)C2=CC=CC=C12
O=S1(=O)C=CC2=CC=CC=C21
C[C@@]12CCC[C@H]1[C@@H]1CCC3=C(C=CC(O)=C3)[C@H]1CC2
O=C1CCC2=C(C=CC(C3=CSC4=NCCCN34)=C2)N1
CCOC(=O)[C@H]1[C@H](C=C(C)C)C1(C)C
COC1=CC=CC(C(=O)O)=C1
OC[C@H](O)C(O)[C@H](O)CO
NCCSSC1=CC=CC=C1
CC(N=C=S)C1=CC=CC=C1
C[C@@H](NC[C@@H](O)CO)c1ccccc1
NCCCC[C@H](N)C(=O)O
N#Cc1cccc([N+](=O)[O-])c1
CCC(NC1=CC=CC2=CC=CC=C12)=C1C(=O)CCCC1=O
CNCCCC1c2ccccc2CCc2ccccc21
CCN(C)CCC(C#N)(C1=CC=CC2=CC=CC=C12)C(C)C
CCN(CC)CCn1cc(C2CCCN2C)c2ccccc21
O=C1NC=CC2=CC=CC=C12
CCNC1=NC(=O)C=C(C)N1
O=C(O)CCCC(=O)N1CCN(C2=CC=CC=N2)CC1
CCCc1ccc(C(=O)NNc2ccc(C(C)C)cc2)cc1
C=C(C(=O)O)[C@H](CC(=O)O)C(=O)O
O=C(O)[C@H]1CC=CC[C@H]1C1=NC2=CC=CC=C2S1
CN1C(=O)NC(=O)C2=CC=CC=C21
CN1C(=O)[C@@H]2CC=C(Cl)C[C@H]2C1=O
CC1=CC=CN2C(=S)NN=C12
N#CC(C#N)=Cc1ccc(Cl)cc1
ClCCCCCCCCCCl
O=S(O)Oc1ccc(S)cc1
COC(=O)CCN1C[C@@H](C)C[C@@H](C)C1
CC(C)(C)N1CNC(=S)NC1
CNC1=NC(=O)[C@H](CC(=O)Nc2ccc(C)cc2C)S1
CC(=O)NC1=CC=C([N+](=O)[O-])C=C1
O=C(O)C1=CC=CC=C1C(=O)NCCN1CCNC1=O
CCCCN(CCCC)CCCC
O=P(c1ccccc1)(c1ccccc1)c1ccccc1
OCCC1=CNC2=C1C=C(O)C=C2
CCNC(=O)SC[C@@H](N)C(=O)O
CC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NN
O=C1N=CNC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
COC(=O)C1=CN=C(N2CCOCC2)N=C1C(F)(F)F
O=C1C2=C(c3ccccc31)c1cccc3cccc(c13)C2=O
CC1=CC[C@H]2C(=O)N(CCC(=O)O)C(=O)[C@@H]2C1
Cc1ccc(C[C@H]2SC(N)=NC2=O)cc1
C1=CC=C2C(=C1)CCC1=C2C=C2C=CC3=CC=CC=C3C2=C1
O=C(O)C1=C(O)C=C(F)C=C1
C[C@H](Nc1nc2nonc2nc1N)c1ccccc1
C#CC(C)(O)CCC=C(C)C
COc1ccc2[nH]c(C(=O)NCCCn3ccnc3)cc2c1
CN1C=NC2=C1C(=O)N=CN2
N#CC1=C(N)O[C@@H](C(=O)O)[C@@H]1c1ccc(F)cc1
N#Cc1ccc(NC(=O)c2nccnc2C(=O)O)cc1
CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2O
CC[C@H](C)NCC1=CC=C(C(=O)OC)O1
O=C(O)c1cccc2ccccc12
C#CCN(CC#C)C(C)(C)C
NC1(Cc2ccccc2)CCN2CCC(C=O)N2C1=O
N[C@@H](CC1=CC(F)=C(F)C=C1)C(=O)O
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1
O=C1NC(=S)N=C2C=CNN12
Cc1ccc([C@H]2N[C@H](C(=O)O)C(C)(C)S2)cc1
N#CC1=CC=C(CC2=CSC3=CC=CC=C3C2=O)C=C1
OC1(C#CCN2CCCC2)C2=CC=CC=C2C2=CC=CC=C21
COC1=C(Cl)C=CC(Cl)=C1C(=O)O
CC(C)(O)[C@@]1(C)NCCC2=CC=CC=C21
C[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O
CCc1cccc(CC)c1N
CC1(C)C2CCC1(C)C(O)C2
O=C(O)C1=C2C(NCCC3=CC=NC=C3)=NC=NC2=CC=C1
CNCC(=O)C1=CC(O)=C(O)C=C1
CCNC1=NC(=O)NC(=O)N1
COc1cc2c3c(c1OC)-c1ccccc1C[C@@H]3N(C)CC2
COC1=CC(C(=O)N2CCOCC2)=CC(OC)=C1OC
CCC(CCCN(C)C)(C(=O)O)C1=CC=CC2=CC=CC=C12
CC1(C)SC[C@H](C(=O)O)N1C=O
CC1=CN=C(NC(=O)C2=NC=CN=C2C(=O)O)C(C)=N1
O=C(NC1=CC=CC=C1)C1=C2C(=CC=C1)CC1=CC=CC=C12
O=C(NC1=CC=C(F)C=C1)C1=CC2=C(C=CC(Cl)=C2)N1
O=S(=O)(C1=CC=CC=C1)[C@H]1CCCCO1
O=C1C=CNC2=CC=CC=C12
CCCC1=CC(OC)=C(OCC(=O)N(CC)CC)C=C1
O=C1Nc2ccccc2C1=Cc1cccc([N+](=O)[O-])c1
Nc1ncc(C(=O)Nc2ccccc2)c(C(F)(F)F)n1
FC(F)(F)C1=CC(C2=CC=C(N3C=CC=C3)C=C2)=NN1
CNC(=O)C1=C(C)NC(=S)N[C@H]1C1=CC=CS1
CCOC1=CC=CC=C1NN
Cn1cc2c(=O)nnnc-2[nH]1
O=C(O)[C@@H]1CS[C@H](c2ccccc2O)N1
C1=CC=C(C2=C3C=CC=CC3=CC3=CC=CC=C23)C=C1
C[C@@H]1NCCC2=C1NC1=CC=CC=C21
NCCCCCNS(=O)(=O)c1cccc2ccccc12
NC1=CC=C([C@@H](O)[C@@H](O)CO)C=C1
Cc1cc(=O)nc(NC[C@H]2CCCO2)[nH]1
NC(=O)c1cc(Cl)ccc1Cl
NC12CC3CC(CC(C3)C1)C2
CC(=O)OC1CC2CCC1N(Cc1ccccc1)C2=O
CCOC1=NC=NC2=C1N=NN2CC1=CC=CC=C1Cl
CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1
O=C(O)c1cccc([N+](=O)[O-])c1O
CCCC1=CC=C(OC)C=C1
Nc1nc(F)nc2nc[nH]c12
CC(C)C(C#N)(CCCN(C)C)c1cccc2ccccc12
Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
C=C1OC(=O)O[C@@]1(C)CC(C)(C)c1ccccc1
COC1=CC2=C(C=C1)N1C(SCC(=O)O)=NN=C1N=N2
CC1NCCOC1C1=CC=CC=C1
COC(=O)c1ccccc1O
O=C(O)CCC(=O)Nc1ccc(C2CCCCC2)cc1
CC1=CC=CC=C1OCCO
O=C(CSc1nc(=O)cn[nH]1)NC[C@H]1CCCO1
COC1=CC=CC(C2(O)CCCCCC2CN(C)C)=C1
CCc1nc2ccccc2[nH]1
COC(=O)Cc1ccccc1
